#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 846: Virginia Lakes Ridge, CA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Virginia Lakes Ridge (846) 
# California  SNOTEL Site - 9400 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Feb 26, 2020 1:32:14 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1978-11-21,2.9,3.1,32,32,32,0.20
1978-11-22,3.1,3.3,32,32,32,0.10
1978-11-23,3.2,3.4,32,32,32,0.10
1978-11-24,3.2,3.5,32,32,32,0.00
1978-11-25,3.2,3.5,32,32,32,0.00
1978-11-26,3.2,3.5,32,32,32,0.00
1978-11-27,3.2,3.5,32,32,32,0.00
1978-11-28,3.2,3.5,32,32,32,0.00
1978-11-29,3.2,3.5,32,32,32,0.00
1978-11-30,3.2,3.5,32,32,32,0.00
1978-12-01,3.2,3.5,32,32,32,0.20
1978-12-02,3.5,3.7,32,32,32,0.00
1978-12-03,3.5,3.7,32,32,32,0.00
1978-12-04,3.5,3.7,32,32,32,0.10
1978-12-05,3.5,3.8,32,32,32,0.10
1978-12-06,3.5,3.9,32,32,32,0.10
1978-12-07,3.5,4.0,32,32,32,0.00
1978-12-08,3.6,4.0,32,32,32,0.00
1978-12-09,3.6,4.0,32,32,32,0.00
1978-12-10,3.6,4.0,32,32,32,0.00
1978-12-11,3.6,4.0,32,32,32,0.00
1978-12-12,3.6,4.0,32,32,32,0.00
1978-12-13,3.6,4.0,32,32,32,0.00
1978-12-14,3.6,4.0,32,32,32,0.00
1978-12-15,3.6,4.0,,,,0.00
1978-12-16,3.6,4.0,,,,0.00
1978-12-17,3.6,4.0,32,32,32,2.00
1978-12-18,5.0,6.0,32,32,32,0.20
1978-12-19,5.2,6.2,32,32,32,0.10
1978-12-20,5.2,6.3,32,32,32,0.00
1978-12-21,5.2,6.3,32,32,32,0.00
1978-12-22,5.2,6.3,32,32,32,0.00
1978-12-23,5.2,6.3,32,32,32,0.00
1978-12-24,5.2,6.3,32,32,32,0.00
1978-12-25,5.2,6.3,32,32,32,0.00
1978-12-26,5.2,6.3,32,32,32,0.00
1978-12-27,5.2,6.3,32,32,32,0.00
1978-12-28,5.2,6.3,32,32,32,0.00
1978-12-29,5.2,6.3,32,32,32,0.00
1978-12-30,5.2,6.3,32,32,32,0.00
1978-12-31,5.2,6.3,32,32,32,0.20
1979-01-01,5.5,6.5,32,32,32,0.00
1979-01-02,5.5,6.5,32,32,32,0.00
1979-01-03,5.5,6.5,32,32,32,0.00
1979-01-04,5.5,6.5,32,32,32,0.00
1979-01-05,5.5,6.5,32,32,32,0.00
1979-01-06,5.5,6.5,32,32,32,0.00
1979-01-07,5.5,6.5,32,32,32,0.00
1979-01-08,5.5,6.5,32,32,32,0.20
1979-01-09,5.7,6.7,32,32,32,0.00
1979-01-10,5.7,6.7,32,32,32,0.50
1979-01-11,6.1,7.2,32,32,32,1.50
1979-01-12,7.1,8.7,32,32,32,0.10
1979-01-13,7.1,8.8,32,32,32,0.60
1979-01-14,7.2,9.4,32,32,32,1.40
1979-01-15,8.5,10.8,32,32,32,0.10
1979-01-16,8.6,10.9,,,,0.00
1979-01-17,8.6,10.9,32,32,32,0.10
1979-01-18,8.7,11.0,,,,0.00
1979-01-19,8.7,11.0,,,,0.00
1979-01-20,8.7,11.0,,,,0.00
1979-01-21,8.7,11.0,32,32,32,0.20
1979-01-22,8.7,11.2,,,,0.00
1979-01-23,8.7,11.2,32,32,32,0.00
1979-01-24,8.7,11.2,32,32,32,0.00
1979-01-25,8.8,11.2,32,32,32,0.10
1979-01-26,9.0,11.3,32,32,32,0.40
1979-01-27,9.2,11.7,32,32,32,0.00
1979-01-28,9.2,11.7,32,32,32,0.00
1979-01-29,9.2,11.7,32,32,32,0.00
1979-01-30,9.2,11.7,32,32,32,0.40
1979-01-31,9.4,12.1,32,32,32,0.10
1979-02-01,9.6,12.2,32,32,32,0.10
1979-02-02,9.7,12.3,32,32,32,0.10
1979-02-03,9.8,12.4,32,32,32,0.00
1979-02-04,9.8,12.4,32,32,32,0.00
1979-02-05,9.8,12.4,32,32,32,0.00
1979-02-06,9.8,12.4,32,32,32,0.00
1979-02-07,9.8,12.4,32,32,32,0.00
1979-02-08,9.8,12.4,,,,0.00
1979-02-09,9.7,12.4,32,32,32,0.00
1979-02-10,9.7,12.4,,,,0.00
1979-02-11,9.7,12.4,32,32,32,0.00
1979-02-12,9.7,12.4,32,32,32,0.00
1979-02-13,9.7,12.4,32,32,32,2.10
1979-02-14,11.8,14.5,32,32,32,0.30
1979-02-15,12.3,14.8,32,32,32,0.20
1979-02-16,12.3,15.0,32,32,32,0.10
1979-02-17,12.4,15.1,32,32,32,0.00
1979-02-18,12.5,15.1,32,32,32,0.10
1979-02-19,12.6,15.2,32,32,32,0.00
1979-02-20,12.7,15.2,32,32,32,1.00
1979-02-21,13.5,16.2,32,32,32,0.70
1979-02-22,14.2,16.9,32,32,32,0.30
1979-02-23,14.5,17.2,32,32,32,0.10
1979-02-24,14.6,17.3,32,32,32,0.10
1979-02-25,14.6,17.4,32,32,32,0.00
1979-02-26,14.6,17.4,32,32,32,0.00
1979-02-27,14.7,17.4,32,32,32,0.60
1979-02-28,14.9,18.0,32,32,32,0.10
1979-03-01,15.4,18.1,,,,0.00
1979-03-02,15.4,18.1,,,,0.00
1979-03-03,15.4,18.1,,,,0.00
1979-03-04,15.4,18.1,,,,0.00
1979-03-05,15.4,18.1,32,32,32,0.10
1979-03-06,15.4,18.2,32,32,32,0.00
1979-03-07,15.4,18.2,32,32,32,0.30
1979-03-08,15.7,18.5,32,32,32,0.00
1979-03-09,15.7,18.5,32,32,32,0.00
1979-03-10,15.7,18.5,32,32,32,0.00
1979-03-11,15.7,18.5,32,32,32,0.00
1979-03-12,15.7,18.5,32,32,32,0.00
1979-03-13,15.7,18.5,32,32,32,0.00
1979-03-14,15.7,18.5,32,32,32,0.00
1979-03-15,15.7,18.5,32,32,32,0.10
1979-03-16,15.9,18.6,32,32,32,0.00
1979-03-17,16.0,18.6,32,32,32,0.00
1979-03-18,16.0,18.6,32,32,32,0.40
1979-03-19,16.5,19.0,32,32,32,0.60
1979-03-20,17.0,19.6,32,32,32,0.30
1979-03-21,17.3,19.9,32,32,32,0.00
1979-03-22,17.4,19.9,32,32,32,0.10
1979-03-23,17.5,20.0,32,32,32,0.00
1979-03-24,17.6,20.0,32,32,32,0.00
1979-03-25,17.7,20.0,32,32,32,0.00
1979-03-26,17.7,20.0,32,32,32,0.70
1979-03-27,18.4,20.7,32,32,32,1.30
1979-03-28,19.8,22.0,32,32,32,0.20
1979-03-29,19.9,22.2,32,32,32,0.20
1979-03-30,20.3,22.4,32,32,32,0.00
1979-03-31,20.3,22.4,32,32,32,0.00
1979-04-01,20.3,22.4,32,32,32,0.00
1979-04-02,20.3,22.4,32,32,32,0.00
1979-04-03,20.3,22.4,32,32,32,0.00
1979-04-04,20.3,22.4,32,32,32,0.00
1979-04-05,20.5,22.4,32,32,32,0.00
1979-04-06,20.5,22.4,32,32,32,0.00
1979-04-07,20.5,22.4,32,32,32,0.00
1979-04-08,20.5,22.4,32,32,32,0.00
1979-04-09,20.5,22.4,32,32,32,0.00
1979-04-10,20.5,22.4,32,32,32,0.00
1979-04-11,20.5,22.4,32,32,32,0.00
1979-04-12,20.5,22.4,32,32,32,0.00
1979-04-13,20.5,22.4,32,32,32,0.00
1979-04-14,20.5,22.4,32,32,32,0.00
1979-04-15,20.5,22.4,32,32,32,0.00
1979-04-16,20.5,22.4,32,32,32,0.40
1979-04-17,20.5,22.8,32,32,32,0.00
1979-04-18,20.5,22.8,32,32,32,0.00
1979-04-19,20.5,22.8,32,32,32,0.00
1979-04-20,20.5,22.8,32,32,32,0.00
1979-04-21,20.5,22.8,32,32,32,0.00
1979-04-22,20.5,22.8,32,32,32,0.10
1979-04-23,20.5,22.9,32,32,32,0.20
1979-04-24,21.0,23.1,32,32,32,0.00
1979-04-25,21.0,23.1,32,32,32,0.40
1979-04-26,21.0,23.5,32,32,32,0.00
1979-04-27,21.0,23.5,32,32,32,0.00
1979-04-28,20.1,23.5,,,,0.00
1979-04-29,20.1,23.5,32,32,32,0.00
1979-04-30,20.1,23.5,32,32,32,0.00
1979-05-01,20.1,23.5,32,32,32,0.00
1979-05-02,20.1,23.5,32,32,32,0.30
1979-05-03,19.7,23.8,32,32,32,0.00
1979-05-04,19.3,23.8,32,32,32,0.10
1979-05-05,18.8,23.9,32,32,32,0.00
1979-05-06,18.2,23.9,32,32,32,0.00
1979-05-07,18.1,23.9,32,32,32,0.20
1979-05-08,18.6,24.1,32,32,32,0.30
1979-05-09,19.0,24.4,32,32,32,0.00
1979-05-10,19.1,24.4,32,32,32,0.10
1979-05-11,19.4,24.5,32,32,32,0.00
1979-05-12,18.8,24.5,32,32,32,0.30
1979-05-13,18.3,24.8,32,32,32,0.00
1979-05-14,17.5,24.8,32,32,32,0.00
1979-05-15,16.5,24.8,32,32,32,0.00
1979-05-16,15.4,24.8,32,32,32,0.00
1979-05-17,14.4,24.8,32,32,32,0.00
1979-05-18,13.6,24.8,32,32,32,0.00
1979-05-19,12.5,24.8,32,32,32,0.00
1979-05-20,11.2,24.8,32,32,32,0.00
1979-05-21,10.1,24.8,32,32,32,0.00
1979-05-22,8.6,24.8,32,32,32,0.00
1979-05-23,7.9,24.8,32,32,32,0.00
1979-05-24,6.7,24.8,32,32,32,0.00
1979-05-25,5.6,24.8,32,32,32,0.00
1979-05-26,4.3,24.8,32,32,32,0.00
1979-05-27,2.5,24.8,32,32,32,0.00
1979-05-28,1.6,24.8,32,32,32,0.00
1979-05-29,0.9,24.8,32,32,32,0.00
1979-05-30,0.5,24.8,32,32,32,0.00
1979-05-31,0.0,24.8,32,32,32,0.00
1979-06-01,0.0,24.8,32,32,32,0.00
1979-06-02,0.0,24.8,32,32,32,0.00
1979-06-03,0.0,24.8,32,32,32,0.00
1979-06-04,0.0,24.8,32,32,32,0.00
1979-06-05,0.0,24.8,32,32,32,0.10
1979-06-06,0.0,24.9,32,32,32,0.00
1979-06-07,0.0,24.9,32,32,32,0.00
1979-06-08,0.0,24.9,32,32,32,0.00
1979-06-09,0.0,24.9,32,32,32,0.00
1979-06-10,0.0,24.9,32,32,32,0.00
1979-06-11,0.0,24.9,32,32,32,0.00
1979-06-12,0.0,24.9,32,32,32,0.00
1979-06-13,0.0,24.9,32,32,32,0.00
1979-06-14,0.0,24.9,32,32,32,0.00
1979-06-15,0.0,24.9,32,32,32,0.00
1979-06-16,0.0,24.9,32,32,32,0.00
1979-06-17,0.0,24.9,32,32,32,0.00
1979-06-18,0.0,24.9,32,32,32,0.00
1979-06-19,0.0,24.9,32,32,32,0.00
1979-06-20,0.0,24.9,32,32,32,0.00
1979-06-21,0.0,24.9,32,32,32,0.00
1979-06-22,0.0,24.9,32,32,32,0.00
1979-06-23,0.0,24.9,32,32,32,0.00
1979-06-24,0.0,24.9,32,32,32,0.00
1979-06-25,0.0,24.9,32,32,32,0.00
1979-06-26,0.0,24.9,32,32,32,0.00
1979-06-27,0.0,24.9,32,32,32,0.00
1979-06-28,0.0,24.9,32,32,32,0.00
1979-06-29,0.0,24.9,32,32,32,0.00
1979-06-30,0.0,24.9,32,32,32,0.00
1979-07-01,0.0,24.9,32,32,32,0.00
1979-07-02,0.0,24.9,32,32,32,0.00
1979-07-03,0.0,24.9,32,32,32,0.00
1979-07-04,0.0,24.9,32,32,32,0.00
1979-07-05,0.0,24.9,32,32,32,0.00
1979-07-06,0.0,24.9,32,32,32,0.00
1979-07-07,0.0,24.9,32,32,32,0.00
1979-07-08,0.0,24.9,32,32,32,0.00
1979-07-09,0.0,24.9,32,32,32,0.00
1979-07-10,0.0,24.9,32,32,32,0.00
1979-07-11,0.0,24.9,32,32,32,0.00
1979-07-12,0.0,24.9,32,32,32,0.00
1979-07-13,0.0,24.9,32,32,32,0.00
1979-07-14,0.0,24.9,32,32,32,0.00
1979-07-15,0.0,24.9,32,32,32,0.00
1979-07-16,0.0,24.9,32,32,32,0.00
1979-07-17,0.0,24.9,32,32,32,0.00
1979-07-18,0.0,24.9,32,32,32,0.00
1979-07-19,0.0,24.9,32,32,32,0.00
1979-07-20,0.0,24.9,32,32,32,0.00
1979-07-21,0.0,24.9,32,32,32,0.00
1979-07-22,0.0,24.9,32,32,32,0.00
1979-07-23,0.0,24.9,32,32,32,0.00
1979-07-24,0.0,24.9,32,32,32,0.00
1979-07-25,0.0,24.9,32,32,32,0.00
1979-07-26,0.0,24.9,32,32,32,0.00
1979-07-27,0.0,24.9,32,32,32,0.00
1979-07-28,0.0,24.9,32,32,32,0.00
1979-07-29,0.0,24.9,32,32,32,0.00
1979-07-30,0.0,24.9,32,32,32,0.00
1979-07-31,0.0,24.9,32,32,32,0.00
1979-08-01,0.0,24.9,32,32,32,0.30
1979-08-02,0.0,25.2,32,32,32,0.00
1979-08-03,0.0,25.2,32,32,32,0.00
1979-08-04,0.0,25.2,32,32,32,0.00
1979-08-05,0.0,25.2,32,32,32,0.00
1979-08-06,0.0,25.2,32,32,32,0.00
1979-08-07,0.0,25.2,32,32,32,0.00
1979-08-08,0.0,25.2,32,32,32,0.00
1979-08-09,0.0,25.2,32,32,32,0.00
1979-08-10,0.0,25.2,32,32,32,0.00
1979-08-11,0.0,25.2,32,32,32,0.00
1979-08-12,0.0,25.2,32,32,32,0.20
1979-08-13,0.0,25.4,32,32,32,0.00
1979-08-14,0.0,25.4,32,32,32,0.10
1979-08-15,0.0,25.5,32,32,32,0.00
1979-08-16,0.0,25.5,32,32,32,0.00
1979-08-17,0.0,25.5,32,32,32,0.20
1979-08-18,0.0,25.7,32,32,32,0.00
1979-08-19,0.0,25.7,32,32,32,0.00
1979-08-20,0.0,25.7,32,32,32,0.40
1979-08-21,0.0,26.1,32,32,32,0.00
1979-08-22,0.0,26.1,32,32,32,0.00
1979-08-23,0.0,26.1,32,32,32,0.00
1979-08-24,0.0,26.1,32,32,32,0.00
1979-08-25,0.0,26.1,32,32,32,0.00
1979-08-26,0.0,26.1,32,32,32,0.00
1979-08-27,0.0,26.1,32,32,32,0.00
1979-08-28,0.0,26.1,32,32,32,0.00
1979-08-29,0.0,26.1,32,32,32,0.00
1979-08-30,0.0,26.1,32,32,32,0.00
1979-08-31,0.0,26.1,32,32,32,0.00
1979-09-01,0.0,26.1,32,32,32,0.00
1979-09-02,0.0,26.1,32,32,32,0.00
1979-09-03,0.0,26.1,32,32,32,0.00
1979-09-04,0.0,26.1,32,32,32,0.00
1979-09-05,0.0,26.1,32,32,32,0.00
1979-09-06,0.0,26.1,32,32,32,0.00
1979-09-07,0.0,26.1,32,32,32,0.00
1979-09-08,0.0,26.1,32,32,32,0.00
1979-09-09,0.0,26.1,32,32,32,0.00
1979-09-10,0.0,26.1,32,32,32,0.00
1979-09-11,0.0,26.1,32,32,32,0.00
1979-09-12,0.0,26.1,32,32,32,0.00
1979-09-13,0.0,26.1,32,32,32,0.00
1979-09-14,0.0,26.1,32,32,32,0.00
1979-09-15,0.0,26.1,32,32,32,0.00
1979-09-16,0.0,26.1,32,32,32,0.00
1979-09-17,0.0,26.1,32,32,32,0.00
1979-09-18,0.0,26.1,32,32,32,0.00
1979-09-19,0.0,26.1,32,32,32,0.00
1979-09-20,0.0,26.1,32,32,32,0.00
1979-09-21,0.0,26.1,32,32,32,0.00
1979-09-22,0.0,26.1,32,32,32,0.00
1979-09-23,0.0,26.1,32,32,32,0.00
1979-09-24,0.0,26.1,32,32,32,0.00
1979-09-25,0.0,26.1,32,32,32,0.00
1979-09-26,0.0,26.1,32,32,32,0.00
1979-09-27,0.0,26.1,32,32,32,0.00
1979-09-28,0.0,26.1,32,32,32,0.00
1979-09-29,0.0,26.1,32,32,32,0.00
1979-09-30,0.0,26.1,32,32,32,0.00
1979-10-01,0.0,0.0,32,32,32,0.00
1979-10-02,0.0,0.0,32,32,32,0.00
1979-10-03,0.0,0.0,32,32,32,0.00
1979-10-04,0.0,0.0,32,32,32,0.00
1979-10-05,0.0,0.0,32,32,32,0.00
1979-10-06,0.0,0.0,32,32,32,0.00
1979-10-07,0.0,0.0,,,,0.00
1979-10-08,0.0,0.0,32,32,32,0.00
1979-10-09,0.0,0.0,32,32,32,0.00
1979-10-10,0.0,0.0,32,32,32,0.00
1979-10-11,0.0,0.0,32,32,32,0.00
1979-10-12,0.0,0.0,32,32,32,0.00
1979-10-13,0.0,0.0,32,32,32,0.00
1979-10-14,0.0,0.0,32,32,32,0.00
1979-10-15,0.0,0.0,32,32,32,0.00
1979-10-16,0.0,0.0,32,32,32,0.00
1979-10-17,0.0,0.0,32,32,32,0.00
1979-10-18,0.0,0.0,32,32,32,0.40
1979-10-19,0.0,0.4,32,32,32,1.20
1979-10-20,0.8,1.6,32,32,32,0.00
1979-10-21,0.8,1.6,32,32,32,0.00
1979-10-22,1.0,1.6,32,32,32,0.00
1979-10-23,1.1,1.6,32,32,32,0.00
1979-10-24,1.1,1.6,32,32,32,0.00
1979-10-25,1.1,1.6,32,32,32,0.10
1979-10-26,1.1,1.7,32,32,32,0.00
1979-10-27,1.1,1.7,32,32,32,0.00
1979-10-28,1.1,1.7,32,32,32,0.00
1979-10-29,1.1,1.7,32,32,32,0.00
1979-10-30,1.1,1.7,32,32,32,0.00
1979-10-31,1.1,1.7,32,32,32,0.00
1979-11-01,1.1,1.7,32,32,32,0.00
1979-11-02,1.1,1.7,32,32,32,0.00
1979-11-03,1.1,1.7,32,32,32,0.80
1979-11-04,1.4,2.5,32,32,32,0.00
1979-11-05,1.6,2.5,32,32,32,0.00
1979-11-06,1.6,2.5,,,,0.00
1979-11-07,1.6,2.5,32,32,32,0.00
1979-11-08,1.6,2.5,32,32,32,0.00
1979-11-09,1.6,2.5,32,32,32,0.00
1979-11-10,1.6,2.5,32,32,32,0.00
1979-11-11,1.6,2.5,32,32,32,0.00
1979-11-12,1.6,2.5,32,32,32,0.00
1979-11-13,1.6,2.5,32,32,32,0.00
1979-11-14,1.6,2.5,32,32,32,0.00
1979-11-15,1.6,2.5,32,32,32,0.00
1979-11-16,1.6,2.5,32,32,32,0.00
1979-11-17,1.6,2.5,32,32,32,0.10
1979-11-18,1.6,2.6,32,32,32,0.20
1979-11-19,1.6,2.8,32,32,32,0.00
1979-11-20,1.6,2.8,32,32,32,0.00
1979-11-21,1.6,2.8,32,32,32,0.00
1979-11-22,1.7,2.8,32,32,32,0.00
1979-11-23,1.8,2.8,32,32,32,0.00
1979-11-24,2.1,2.8,32,32,32,0.00
1979-11-25,2.1,2.8,32,32,32,0.90
1979-11-26,2.1,3.7,32,32,32,0.00
1979-11-27,2.2,3.7,32,32,32,0.00
1979-11-28,2.2,3.7,32,32,32,0.00
1979-11-29,2.2,3.7,32,32,32,0.00
1979-11-30,2.2,3.7,32,32,32,0.00
1979-12-01,2.2,3.7,32,32,32,0.00
1979-12-02,2.2,3.7,32,32,32,0.00
1979-12-03,2.2,3.7,32,32,32,0.00
1979-12-04,2.2,3.7,32,32,32,0.00
1979-12-05,2.2,3.7,32,32,32,0.00
1979-12-06,2.2,3.7,32,32,32,0.00
1979-12-07,2.2,3.7,32,32,32,0.00
1979-12-08,2.2,3.7,32,32,32,0.00
1979-12-09,2.2,3.7,32,32,32,0.00
1979-12-10,2.2,3.7,32,32,32,0.00
1979-12-11,2.2,3.7,32,32,32,0.00
1979-12-12,2.2,3.7,32,32,32,0.00
1979-12-13,2.2,3.7,32,32,32,0.00
1979-12-14,2.2,3.7,32,32,32,0.00
1979-12-15,2.2,3.7,32,32,32,0.00
1979-12-16,2.2,3.7,32,32,32,0.00
1979-12-17,2.2,3.7,32,32,32,0.00
1979-12-18,2.2,3.7,32,32,32,0.00
1979-12-19,2.2,3.7,32,32,32,0.00
1979-12-20,2.2,3.7,32,32,32,0.20
1979-12-21,2.2,3.9,32,32,32,0.20
1979-12-22,2.3,4.1,32,32,32,0.10
1979-12-23,2.7,4.2,32,32,32,1.00
1979-12-24,3.2,5.2,32,32,32,2.40
1979-12-25,4.6,7.6,32,32,32,0.10
1979-12-26,5.0,7.7,32,32,32,0.00
1979-12-27,5.3,7.7,32,32,32,0.40
1979-12-28,5.3,8.1,32,32,32,0.00
1979-12-29,5.3,8.1,32,32,32,0.00
1979-12-30,5.3,8.1,32,32,32,0.00
1979-12-31,5.6,8.1,,,,0.00
1980-01-01,5.6,8.1,,,,0.00
1980-01-02,5.6,8.1,32,32,32,0.80
