#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
# 
# Support Contact: usdafpacbc@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 669: North Lost Trail, CO
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                           
# Precipitation Accumulation          Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           PREC          Water year accumulated precipitation  
# Precipitation Increment             Value       None           Day                           N/A        Inches             N/A           PRCP          Total precipitation                   
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches             N/A           PRCPSA        Snow adjusted total preciptation      
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# North Lost Trail (669) 
# Colorado  SNOTEL Site - 9200 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 5, 2020 11:28:55 AM GMT-08:00
#
Date,North Lost Trail (669) Precipitation Accumulation (in) Start of Day Values,North Lost Trail (669) Precipitation Increment (in),North Lost Trail (669) Precipitation Increment - Snow-adj (in)
1986-03-22,26.6,0.00,0.00
1986-03-23,26.6,0.00,0.00
1986-03-24,26.6,0.00,0.00
1986-03-25,26.6,0.00,0.00
1986-03-26,26.6,0.00,0.00
1986-03-27,26.6,0.00,0.00
1986-03-28,26.6,0.00,0.00
1986-03-29,26.6,0.00,0.00
1986-03-30,26.6,0.30,0.30
1986-03-31,26.9,0.20,0.20
1986-04-01,27.1,0.70,0.70
1986-04-02,27.8,0.90,1.00
1986-04-03,28.7,0.10,0.10
1986-04-04,28.8,0.00,0.20
1986-04-05,28.8,0.00,0.00
1986-04-06,28.8,0.10,0.10
1986-04-07,28.9,0.00,0.00
1986-04-08,28.9,0.00,0.00
1986-04-09,28.9,0.20,0.20
1986-04-10,29.1,0.00,0.00
1986-04-11,29.1,0.10,0.10
1986-04-12,29.2,0.30,0.30
1986-04-13,29.5,0.00,0.20
1986-04-14,29.5,0.00,0.00
1986-04-15,29.5,0.00,0.00
1986-04-16,29.5,0.50,0.50
1986-04-17,30.0,0.00,0.00
1986-04-18,30.0,0.00,0.00
1986-04-19,30.0,0.30,0.30
1986-04-20,30.3,0.00,0.00
1986-04-21,30.3,0.10,0.10
1986-04-22,30.4,0.20,0.20
1986-04-23,30.6,0.10,0.10
1986-04-24,30.7,0.10,0.10
1986-04-25,30.8,0.90,0.90
1986-04-26,31.7,0.10,0.20
1986-04-27,31.8,0.20,0.20
1986-04-28,32.0,0.00,0.00
1986-04-29,32.0,0.00,0.00
1986-04-30,32.0,0.00,0.00
1986-05-01,32.0,0.00,0.00
1986-05-02,32.0,0.00,0.00
1986-05-03,32.0,0.00,0.00
1986-05-04,32.0,0.00,0.00
1986-05-05,32.0,0.00,0.00
1986-05-06,32.0,0.10,0.10
1986-05-07,32.1,0.10,0.10
1986-05-08,32.2,0.60,0.60
1986-05-09,32.8,0.20,0.30
1986-05-10,33.0,0.20,0.20
1986-05-11,33.2,0.00,0.00
1986-05-12,33.2,0.00,0.00
1986-05-13,33.2,0.00,0.00
1986-05-14,33.2,0.40,0.40
1986-05-15,33.6,0.60,0.60
1986-05-16,34.2,0.10,0.10
1986-05-17,34.3,0.00,0.00
1986-05-18,34.3,0.00,0.00
1986-05-19,34.3,0.00,0.00
1986-05-20,34.3,0.00,0.00
1986-05-21,34.3,0.00,0.00
1986-05-22,34.3,0.00,0.00
1986-05-23,34.3,0.00,0.00
1986-05-24,34.3,0.00,0.00
1986-05-25,34.3,0.00,0.00
1986-05-26,34.3,0.00,0.00
1986-05-27,34.3,0.00,0.00
1986-05-28,34.3,0.00,0.00
1986-05-29,34.3,0.00,0.00
1986-05-30,34.3,0.00,0.00
1986-05-31,34.3,0.00,0.00
1986-06-01,34.3,0.00,0.00
1986-06-02,34.3,0.10,0.10
1986-06-03,34.4,0.10,0.10
1986-06-04,34.5,0.00,0.00
1986-06-05,34.5,0.00,0.00
1986-06-06,34.5,0.00,0.00
1986-06-07,34.5,0.00,0.00
1986-06-08,34.5,0.00,0.00
1986-06-09,34.5,0.40,0.40
1986-06-10,34.9,0.20,0.20
1986-06-11,35.1,0.00,0.00
1986-06-12,35.1,0.00,0.00
1986-06-13,35.1,0.00,0.00
1986-06-14,35.1,0.00,0.00
1986-06-15,35.1,0.00,0.00
1986-06-16,35.1,0.00,0.00
1986-06-17,35.1,0.20,0.20
1986-06-18,35.3,0.00,0.00
1986-06-19,35.3,0.00,0.00
1986-06-20,35.3,0.00,0.00
1986-06-21,35.3,0.00,0.00
1986-06-22,35.3,0.00,0.00
1986-06-23,35.3,0.10,0.10
1986-06-24,35.4,0.00,0.00
1986-06-25,35.4,0.50,0.50
1986-06-26,35.9,0.00,0.00
1986-06-27,35.9,0.00,0.00
1986-06-28,35.9,0.00,0.00
1986-06-29,35.9,0.00,0.00
1986-06-30,35.9,0.00,0.00
1986-07-01,35.9,0.00,0.00
1986-07-02,35.9,0.00,0.00
1986-07-03,35.9,0.00,0.00
1986-07-04,35.9,0.60,0.60
1986-07-05,36.5,0.10,0.10
1986-07-06,36.6,0.00,0.00
1986-07-07,36.6,0.00,0.00
1986-07-08,36.6,0.10,0.10
1986-07-09,36.7,0.30,0.30
1986-07-10,37.0,0.00,0.00
1986-07-11,37.0,0.10,0.10
1986-07-12,37.1,0.00,0.00
1986-07-13,37.1,0.00,0.00
1986-07-14,37.1,0.00,0.00
1986-07-15,37.1,0.20,0.20
1986-07-16,37.3,0.00,0.00
1986-07-17,37.3,0.10,0.10
1986-07-18,37.4,0.00,0.00
1986-07-19,37.4,0.00,0.00
1986-07-20,37.4,0.00,0.00
1986-07-21,37.4,0.10,0.10
1986-07-22,37.5,0.20,0.20
1986-07-23,37.7,0.10,0.10
1986-07-24,37.8,0.00,0.00
1986-07-25,37.8,0.00,0.00
1986-07-26,37.8,0.00,0.00
1986-07-27,37.8,0.00,0.00
1986-07-28,37.8,0.00,0.00
1986-07-29,37.8,0.00,0.00
1986-07-30,37.8,0.00,0.00
1986-07-31,37.8,0.00,0.00
1986-08-01,37.8,0.00,0.00
1986-08-02,37.8,0.00,0.00
1986-08-03,37.8,0.00,0.00
1986-08-04,37.8,0.00,0.00
1986-08-05,37.8,0.50,0.50
1986-08-06,38.3,0.10,0.10
1986-08-07,38.4,0.00,0.00
1986-08-08,38.4,0.00,0.00
1986-08-09,38.4,0.00,0.00
1986-08-10,38.4,0.00,0.00
1986-08-11,38.4,0.00,0.00
1986-08-12,38.4,0.30,0.30
1986-08-13,38.7,0.00,0.00
1986-08-14,38.7,0.00,0.00
1986-08-15,38.7,0.00,0.00
1986-08-16,38.7,0.00,0.00
1986-08-17,38.7,0.20,0.20
1986-08-18,38.9,0.00,0.00
1986-08-19,38.9,0.00,0.00
1986-08-20,38.9,0.10,0.10
1986-08-21,39.0,0.10,0.10
1986-08-22,39.1,0.10,0.10
1986-08-23,39.2,0.20,0.20
1986-08-24,39.4,0.50,0.50
1986-08-25,39.9,0.00,0.00
1986-08-26,39.9,0.00,0.00
1986-08-27,39.9,0.10,0.10
1986-08-28,40.0,0.00,0.00
1986-08-29,40.0,0.10,0.10
1986-08-30,40.1,0.00,0.00
1986-08-31,40.1,0.20,0.20
1986-09-01,40.3,0.10,0.10
1986-09-02,40.4,0.10,0.10
1986-09-03,40.5,0.10,0.10
1986-09-04,40.6,0.00,0.00
1986-09-05,40.6,0.00,0.00
1986-09-06,40.6,0.00,0.00
1986-09-07,40.6,0.20,0.20
1986-09-08,40.8,0.20,0.20
1986-09-09,41.0,1.10,1.10
1986-09-10,42.1,0.30,0.30
1986-09-11,42.4,0.00,0.00
1986-09-12,42.4,0.20,0.20
1986-09-13,42.6,0.00,0.00
1986-09-14,42.6,0.00,0.00
1986-09-15,42.6,0.00,0.00
1986-09-16,42.6,0.00,0.00
1986-09-17,42.6,0.00,0.00
1986-09-18,42.6,0.00,0.00
1986-09-19,42.6,0.00,0.00
1986-09-20,42.6,0.00,0.00
1986-09-21,42.6,0.00,0.00
1986-09-22,42.6,0.40,0.40
1986-09-23,43.0,0.20,0.20
1986-09-24,43.2,0.80,0.80
1986-09-25,44.0,1.20,1.20
1986-09-26,45.2,0.40,0.40
1986-09-27,45.6,0.00,0.00
1986-09-28,45.6,0.00,0.00
1986-09-29,45.6,0.00,0.00
1986-09-30,45.6,0.00,0.00
1986-10-01,0.0,0.10,0.10
1986-10-02,0.1,0.00,0.00
1986-10-03,0.1,0.20,0.20
1986-10-04,0.3,0.00,0.00
1986-10-05,0.3,0.00,0.00
1986-10-06,0.3,0.10,0.10
1986-10-07,0.4,0.00,0.00
1986-10-08,0.4,0.00,0.00
1986-10-09,0.4,0.10,0.10
1986-10-10,0.5,0.60,0.60
1986-10-11,1.1,0.20,0.20
1986-10-12,1.3,0.00,0.10
1986-10-13,1.3,0.30,0.30
1986-10-14,1.6,0.00,0.00
1986-10-15,1.6,0.10,0.10
1986-10-16,1.7,0.10,0.10
1986-10-17,1.8,0.00,0.00
1986-10-18,1.8,0.10,0.10
1986-10-19,1.9,0.10,0.10
1986-10-20,2.0,0.50,0.50
1986-10-21,2.5,0.00,0.00
1986-10-22,2.5,0.10,0.10
1986-10-23,2.6,0.10,0.10
1986-10-24,2.7,0.00,0.00
1986-10-25,2.7,0.00,0.00
1986-10-26,2.7,0.10,0.10
1986-10-27,2.8,0.00,0.00
1986-10-28,2.8,0.10,0.10
1986-10-29,2.9,0.00,0.00
1986-10-30,2.9,0.10,0.10
1986-10-31,3.0,0.70,0.70
1986-11-01,3.7,0.10,0.10
1986-11-02,3.8,0.00,0.00
1986-11-03,3.8,0.00,0.00
1986-11-04,3.8,0.00,0.20
1986-11-05,3.8,0.10,0.10
1986-11-06,3.9,0.50,0.50
1986-11-07,4.4,0.30,0.30
1986-11-08,4.7,0.00,0.20
1986-11-09,4.7,0.20,0.20
1986-11-10,4.9,0.00,0.00
1986-11-11,4.9,0.00,0.10
1986-11-12,4.9,0.00,0.00
1986-11-13,4.9,0.10,0.10
1986-11-14,5.0,0.20,0.20
1986-11-15,5.2,0.00,0.00
1986-11-16,5.2,0.20,0.20
1986-11-17,5.4,0.00,0.00
1986-11-18,5.4,0.60,0.60
1986-11-19,6.0,0.00,0.10
1986-11-20,6.0,0.10,0.10
1986-11-21,6.1,0.30,0.30
1986-11-22,6.4,0.00,0.00
1986-11-23,6.4,0.00,0.10
1986-11-24,6.4,0.10,0.10
1986-11-25,6.5,0.20,0.20
1986-11-26,6.7,0.00,0.00
1986-11-27,6.7,0.00,0.00
1986-11-28,6.7,0.00,0.00
1986-11-29,6.7,0.20,0.40
1986-11-30,6.9,0.00,0.00
1986-12-01,6.9,0.10,0.10
1986-12-02,7.0,0.10,0.10
1986-12-03,7.1,0.00,0.00
1986-12-04,7.1,0.10,0.10
1986-12-05,7.2,0.20,0.20
1986-12-06,7.4,0.30,0.50
1986-12-07,7.7,0.00,0.00
1986-12-08,7.7,0.50,0.50
1986-12-09,8.2,0.00,0.00
1986-12-10,8.2,0.10,0.10
1986-12-11,8.3,0.20,0.20
1986-12-12,8.5,0.10,0.10
1986-12-13,8.6,0.00,0.00
1986-12-14,8.6,0.20,0.20
1986-12-15,8.8,0.00,0.00
1986-12-16,8.8,0.00,0.00
1986-12-17,8.8,0.00,0.00
1986-12-18,8.8,0.00,0.00
1986-12-19,8.8,0.00,0.00
1986-12-20,8.8,0.00,0.00
1986-12-21,8.8,0.00,0.00
1986-12-22,8.8,0.00,0.00
1986-12-23,8.8,0.00,0.00
1986-12-24,8.8,0.00,0.00
1986-12-25,8.8,0.00,0.00
1986-12-26,8.8,0.00,0.00
1986-12-27,8.8,0.10,0.10
1986-12-28,8.9,0.00,0.00
1986-12-29,8.9,0.10,0.10
1986-12-30,9.0,0.00,0.00
1986-12-31,9.0,0.00,0.00
1987-01-01,9.0,0.40,0.40
1987-01-02,9.4,0.10,0.30
1987-01-03,9.5,0.20,0.20
1987-01-04,9.7,0.40,0.40
1987-01-05,10.1,0.10,0.30
1987-01-06,10.2,0.00,0.00
1987-01-07,10.2,0.00,0.00
1987-01-08,10.2,0.00,0.00
1987-01-09,10.2,0.00,0.00
1987-01-10,10.2,0.00,0.00
1987-01-11,10.2,0.10,0.10
1987-01-12,10.3,0.00,0.00
1987-01-13,10.3,0.00,0.00
1987-01-14,10.3,0.00,0.00
1987-01-15,10.3,0.00,0.00
1987-01-16,10.3,0.00,0.00
1987-01-17,10.3,0.00,0.00
1987-01-18,10.3,0.00,0.00
1987-01-19,10.3,0.10,0.20
1987-01-20,10.4,0.00,0.20
1987-01-21,10.4,0.00,0.00
1987-01-22,10.4,0.40,0.40
1987-01-23,10.8,0.20,0.20
1987-01-24,11.0,0.20,0.20
1987-01-25,11.2,0.10,0.10
1987-01-26,11.3,0.00,0.00
1987-01-27,11.3,0.30,0.30
1987-01-28,11.6,0.30,0.60
1987-01-29,11.9,0.00,0.00
1987-01-30,11.9,0.20,0.20
1987-01-31,12.1,0.00,0.00
1987-02-01,12.1,0.00,0.00
1987-02-02,12.1,0.10,0.10
1987-02-03,12.2,0.00,0.00
1987-02-04,12.2,0.00,0.10
1987-02-05,12.2,0.00,0.00
1987-02-06,12.2,0.10,0.10
1987-02-07,12.3,0.00,0.10
1987-02-08,12.3,0.10,0.10
1987-02-09,12.4,0.00,0.00
1987-02-10,12.4,0.30,0.30
1987-02-11,12.7,0.00,0.00
1987-02-12,12.7,0.40,0.40
1987-02-13,13.1,0.50,0.50
1987-02-14,13.6,0.60,0.80
1987-02-15,14.2,0.00,0.00
1987-02-16,14.2,0.00,0.10
1987-02-17,14.2,0.00,0.10
1987-02-18,14.2,0.00,0.10
1987-02-19,14.2,0.00,0.00
1987-02-20,14.2,0.00,0.00
1987-02-21,14.2,0.00,0.00
1987-02-22,14.2,0.10,0.10
1987-02-23,14.3,0.10,0.10
1987-02-24,14.4,0.50,0.50
1987-02-25,14.9,0.10,0.60
1987-02-26,15.0,0.50,1.00
1987-02-27,15.5,0.00,0.40
1987-02-28,15.5,0.00,0.30
1987-03-01,15.5,0.10,0.20
1987-03-02,15.6,0.10,0.20
1987-03-03,15.7,0.00,0.00
1987-03-04,15.7,0.10,0.10
1987-03-05,15.8,0.00,0.00
1987-03-06,15.8,0.00,0.00
1987-03-07,15.8,0.10,0.10
1987-03-08,15.9,0.20,0.20
1987-03-09,16.1,0.70,0.80
1987-03-10,16.8,0.00,0.00
1987-03-11,16.8,0.00,0.00
1987-03-12,16.8,0.00,0.00
1987-03-13,16.8,0.00,0.00
1987-03-14,16.8,0.20,0.20
1987-03-15,17.0,0.10,0.10
1987-03-16,17.1,0.00,0.10
1987-03-17,17.1,0.20,0.20
1987-03-18,17.3,0.00,0.00
1987-03-19,17.3,0.30,0.30
1987-03-20,17.6,0.00,0.40
1987-03-21,17.6,0.50,0.50
1987-03-22,18.1,0.00,0.10
1987-03-23,18.1,0.00,0.00
1987-03-24,18.1,0.00,0.00
1987-03-25,18.1,0.00,0.20
1987-03-26,18.1,0.50,0.50
1987-03-27,18.6,0.20,0.50
1987-03-28,18.8,0.20,0.20
1987-03-29,19.0,0.00,0.10
1987-03-30,19.0,0.00,0.00
1987-03-31,19.0,0.10,0.10
1987-04-01,19.1,0.00,0.00
1987-04-02,19.1,0.00,0.20
1987-04-03,19.1,0.00,0.00
1987-04-04,19.1,0.00,0.00
1987-04-05,19.1,0.00,0.20
1987-04-06,19.1,0.20,0.20
1987-04-07,19.3,0.00,0.00
1987-04-08,19.3,0.00,0.00
1987-04-09,19.3,0.00,0.00
1987-04-10,19.3,0.00,0.00
1987-04-11,19.3,0.70,0.70
1987-04-12,20.0,0.50,0.70
1987-04-13,20.5,0.00,0.00
1987-04-14,20.5,0.00,0.00
1987-04-15,20.5,0.10,0.10
1987-04-16,20.6,0.00,0.00
1987-04-17,20.6,0.00,0.00
1987-04-18,20.6,0.00,0.00
1987-04-19,20.6,0.00,0.00
1987-04-20,20.6,0.00,0.00
1987-04-21,20.6,0.00,0.00
1987-04-22,20.6,0.00,0.00
1987-04-23,20.6,0.00,0.00
1987-04-24,20.6,0.00,0.00
1987-04-25,20.6,0.00,0.00
1987-04-26,20.6,0.00,0.00
1987-04-27,20.6,0.00,0.00
1987-04-28,20.6,0.00,0.00
1987-04-29,20.6,0.00,0.00
1987-04-30,20.6,0.20,0.20
1987-05-01,20.8,0.00,0.00
1987-05-02,20.8,0.50,0.50
1987-05-03,21.3,0.00,0.00
1987-05-04,21.3,0.00,0.00
1987-05-05,21.3,0.00,0.00
1987-05-06,21.3,0.00,0.00
1987-05-07,21.3,0.00,0.00
1987-05-08,21.3,0.00,0.00
1987-05-09,21.3,0.00,0.00
1987-05-10,21.3,0.00,0.00
1987-05-11,21.3,0.30,0.30
1987-05-12,21.6,0.00,0.00
1987-05-13,21.6,0.00,0.00
1987-05-14,21.6,0.00,0.00
1987-05-15,21.6,0.00,0.00
1987-05-16,21.6,0.00,0.00
1987-05-17,21.6,0.00,0.00
1987-05-18,21.6,0.00,0.00
1987-05-19,21.6,0.20,0.20
1987-05-20,21.8,0.00,0.00
1987-05-21,21.8,0.30,0.30
1987-05-22,22.1,0.00,0.00
1987-05-23,22.1,0.00,0.00
1987-05-24,22.1,0.00,0.00
1987-05-25,22.1,0.00,0.00
1987-05-26,22.1,0.20,0.20
1987-05-27,22.3,0.00,0.00
1987-05-28,22.3,0.00,0.00
1987-05-29,22.3,0.00,0.00
1987-05-30,22.3,0.00,0.00
1987-05-31,22.3,0.00,0.00
1987-06-01,22.3,0.00,0.00
1987-06-02,22.3,0.00,0.00
1987-06-03,22.3,0.00,0.00
1987-06-04,22.3,0.00,0.00
1987-06-05,22.3,0.00,0.00
1987-06-06,22.3,0.00,0.00
1987-06-07,22.3,0.00,0.00
1987-06-08,22.3,0.30,0.30
1987-06-09,22.6,0.00,0.00
1987-06-10,22.6,0.00,0.00
1987-06-11,22.6,0.00,0.00
1987-06-12,22.6,0.00,0.00
1987-06-13,22.6,0.00,0.00
1987-06-14,22.6,0.00,0.00
1987-06-15,22.6,0.00,0.00
1987-06-16,22.6,0.00,0.00
1987-06-17,22.6,0.00,0.00
1987-06-18,22.6,0.00,0.00
1987-06-19,22.6,0.00,0.00
1987-06-20,22.6,0.00,0.00
